,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
2454,Tales of Arise,Action role-playing,Bandai Namco Studios,Bandai Namco Entertainment,TBA,TBA,TBA,
2455,Tales of Berseria,Role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,"Aug 18, 2016","Jan 27, 2017","Jan 24, 2017",
2456,Tales of the Neon Sea,Adventure,Zodiac Interactive,Zodiac Interactive,TBA,TBA,TBA,
2457,Tales of Vesperia: Definitive Edition,Role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jan 11, 2019","Jan 11, 2019","Jan 11, 2019",
2458,Tales of Zestiria,Role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jul 7, 2016","Oct 16, 2015","Oct 20, 2015",
2459,The Talos Principle,Puzzle,Croteam,Devolver Digital,Unreleased,"Oct 13, 2015","Oct 13, 2015",
2460,Tamarin,Action-adventure,Chameleon Games,Chameleon Games,"Sep 10, 2020","Sep 10, 2020","Sep 10, 2020",P
2461,Tannenberg,First-person shooter,"M2H
Blackmill Games","M2H
Blackmill Games","Aug 18, 2020","Jul 24, 2020","Jul 24, 2020",P
2462,Team Sonic Racing,Racing,Sumo Digital,Sega,"May 21, 2019","May 21, 2019","May 21, 2019",
2463,Tearaway Unfolded,Platform,Media Molecule,Sony Computer Entertainment,"Sep 8, 2015","Sep 8, 2015","Sep 8, 2015",C
2464,The Technomancer,Role-playing,Spiders,Focus Home Interactive,Unreleased,"Jun 28, 2016","Jun 28, 2016",
2465,Teenage Mutant Ninja Turtles: Mutants in Manhattan,Fighting,PlatinumGames,Activision,Unreleased,"May 26, 2016","May 26, 2016",
2466,Tekken 7,Fighting,Bandai Namco,Bandai Namco,"Jun 2, 2017","Jun 2, 2017","Jun 2, 2017",P VR
2467,Telling Lies,Adventure,"Sam Barlow
Furious Bee",Annapurna Interactive,Unreleased,"Apr 29, 2020","Apr 28, 2020",
2468,Tembo the Badass Elephant,Platform,Game Freak,Sega,Unreleased,"Jul 21, 2015","Jul 21, 2015",
2469,Tempest 4000,Shoot 'em up,Llamasoft,Atari,Unreleased,"Jul 17, 2017","Jul 17, 2017",
2470,Tennis in the Face,Puzzle,10tons,10tons,Unreleased,"Dec 9, 2014","Dec 9, 2014",
2471,Tennis World Tour,Sports,Breakpoint Studio,Bigben Interactive,"May 22, 2018","May 22, 2018","May 22, 2018",
2472,Tennis World Tour 2,Sports,Big Ant Studios,Nacon,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",
2473,The Tenth Line,Role-playing,Sungazer Software,Sungazer Software,Unreleased,"Oct 19, 2017","Jun 27, 2017",
2474,Terraria,Action-adventure,505 Games,505 Games,"Nov 14, 2014","Nov 14, 2014","Nov 14, 2014",CP
2475,TerraTech,Vehicular sandbox,Payload Studios,Payload Studios,Unreleased,"Aug 14, 2018","Aug 14, 2018",
2476,Teslagrad,"Platform
puzzle",Rain Games,Rain Games,"Feb 18, 2015","Dec 3, 2014","Dec 3, 2014",
2477,Tesla vs Lovecraft,Shooter,10tons,10tons,Unreleased,"Mar 13, 2018","Mar 13, 2018",
2478,Tethered,Simulation,Secret Sorcery,Secret Sorcery,"Dec 22, 2016","Oct 8, 2016","Oct 8, 2016",P VR
2479,Tetraminos,Puzzle,Sanuk Games,Bigben Interactive,Unreleased,"Mar 8, 2016","Mar 8, 2016",
2480,Tetris Effect,Puzzle,Enhance Games,Enhance Games,"Nov 9, 2018","Nov 9, 2018","Nov 9, 2018",VR
2481,Tetris Ultimate,Puzzle,SoMa Play,Ubisoft,"Jun 10, 2015","Dec 17, 2014","Dec 16, 2014",
2482,Tharsis,Turn-based strategy,Choice Provisions,Choice Provisions,Unreleased,"Jan 12, 2016","Jan 12, 2016",
2483,That's You!,Party,Wish Studios,Sony Interactive Entertainment,Unreleased,"Jul 4, 2017","Jul 4, 2017",PL
2484,Thea: The Awakening,Turn-based strategy,MuHa Games,MuHa Games,Unreleased,"May 31, 2017","May 31, 2017",P
2485,TheHunter: Call of the Wild,"Simulation
sport",Expansive Worlds,Expansive Worlds,Unreleased,"Oct 2, 2017","Oct 2, 2017",
2486,There Came an Echo,Real-time strategy,Iridium Studios,Iridium Studios,Unreleased,"Feb 24, 2015","Feb 24, 2015",
2487,They Are Billions,"Real-time strategy
city-building",Numantian Games,BlitWorks,"Aug 20, 2020","Jul 9, 2019","Jul 9, 2019",
2488,Thief,Stealth,Eidos Montréal,Square Enix,"Jun 12, 2014","Feb 28, 2014","Feb 25, 2014",
2489,Thief Town,Party,Glass Knuckle Games,Glass Knuckle Games,Unreleased,Unreleased,"Sep 29, 2015",
2490,Thimbleweed Park,Point-and-click adventure,Terrible Toybox,Terrible Toybox,Unreleased,"Aug 22, 2017","Aug 22, 2017",P
2491,This Is Pool,Sports,VooFoo Studios,VooFoo Studios,Unreleased,2020,2020,P
2492,This Is Snooker,Sports,VooFoo Studios,VooFoo Studios,Unreleased,2020,2020,P
2493,This Is the Police,"Adventure, strategy",Weappy Studio,Nordic Games,Unreleased,"Mar 22, 2017","Mar 22, 2017",P
2494,This War of Mine: The Little Ones,Survival,11 Bit Studios,Deep Silver,Unreleased,"Jan 29, 2016","Jan 29, 2016",
2495,Thomas Was Alone,"Platform
puzzle",Curve Digital,Curve Digital,Unreleased,"Nov 25, 2014","Nov 25, 2014",
2496,Through the Darkest of Times,"Adventure
strategy",Paintbucket Games,HandyGames,"Oct 21, 2020","Aug 13, 2020","Aug 13, 2020",
2497,Thumper,"Music
rhythm",Drool,Drool,"Oct 13, 2016","Oct 13, 2016","Oct 13, 2016",P VR
2498,Ticket to Ride,"Card & board
strategy",Asmodee Digital,Asmodee Digital,Unreleased,"Nov 14, 2018","Nov 13, 2018",PL
2499,Time Recoil,Twin-stick shooter,10tons,10tons,Unreleased,"Jan 31, 2018","Sep 12, 2017",
2500,Timespinner,"Metroidvania
platform",Lunar Ray Games,Chucklefish,"Jun 3, 2020","Sep 25, 2018","Sep 25, 2018",
2501,Timothy vs. the Aliens,"Action
platform",Wild Sphere,Square Enix,Unreleased,"Jan 31, 2017","Jan 31, 2017",
2502,Tina's Toy Factory,Puzzle,Strange Games Studios,Strange Games Studios,Unreleased,"Aug 25, 2015","Aug 25, 2015",
2503,Tinertia,Platform,Candescent Games,Candescent Games,Unreleased,Unreleased,"Jun 20, 2017",P VR
2504,Tiny Brains,Puzzle,Spearhead Games,Spearhead Games,"Feb 22, 2014","Nov 29, 2013","Dec 3, 2013",
2505,Tiny Metal,Turn-based tactics,Area 34,Unties,"Dec 21, 2017","Dec 21, 2017","Dec 21, 2017",
2506,Tiny Troopers: Joint Ops,Shooter,Kukouri Mobile Entertainment,Wired Productions,"Jul 10, 2015","Nov 19, 2014","Nov 19, 2014",
2507,Titan Attacks!,Shooter,Puppy Games,Curve Digital,"Jan 14, 2015","May 7, 2014","May 6, 2014",
2508,Titan Souls,Action-adventure,Acid Nerve,Devolver Digital,Unreleased,"Apr 15, 2015","Apr 14, 2015",
2509,Titanfall 2,First-person shooter,Respawn Entertainment,Electronic Arts,"Oct 28, 2016","Oct 28, 2016","Oct 28, 2016",P
2510,To All of Mankind,Adventure,Acquire,Nippon Ichi Software,"Jun 27, 2019",Unreleased,Unreleased,
2511,Toby: The Secret Mine,Action-adventure,Lukáš Navrátil,Headup Games,"Jul 9, 2020","Jul 6, 2017","Jul 6, 2017",
2512,ToeJam & Earl: Back in the Groove,Adventure,HumaNature Studios,Adult Swim Games,"Jan 10, 2020","Mar 1, 2019","Mar 1, 2019",
2513,TOHU,Adventure,Fireart Games,The Irregular Corporation,Unreleased,2020,2020,
2514,Toki,Platform,Microids,Microids,Unreleased,"Jun 6, 2019","Jun 6, 2019",
2515,Toki Tori 2+,"Platform
puzzle",Two Tribes,Two Tribes,"Feb 23, 2016","Feb 23, 2016","Feb 23, 2016",
2516,Tokyo 2020,"Olympic
sports",Sega Games,Sega,"Jul 24, 2019",2020,2020,
2517,Tokyo 42,Action,Smac Games,Mode 7,"May 31, 2017","May 31, 2017","May 31, 2017",
2518,Tokyo Dark: Remembrance,Point-and-click adventure,Cherrymochi,"JP: Unties
WW: Square Enix","Jan 10, 2020","Jan 10, 2020","Jan 10, 2020",
2519,Tokyo Ghoul: re Call to Exist,Action,Three Rings Design,Bandai Namco,"Nov 14, 2019","Nov 15, 2019","Nov 15, 2019",
2520,Tokyo Xanadu eX+,Action role-playing,Nihon Falcom,Aksys Games,"Sep 8, 2016","Dec 8, 2017","Dec 8, 2017",
2521,Tomb Raider: Definitive Edition,"Action-adv, Action role-playing",Crystal Dynamics,Square Enix,"Feb 22, 2014","Jan 31, 2014","Jan 28, 2014",
2522,Tom Clancy's Ghost Recon Breakpoint,First-person shooter,Ubisoft Paris,Ubisoft,"Oct 4, 2019","Oct 4, 2019","Oct 4, 2019",
2523,Tom Clancy's Ghost Recon Wildlands,Third-person shooter,Ubisoft Paris,Ubisoft,"Mar 7, 2017","Mar 7, 2017","Mar 7, 2017",P
2524,Tom Clancy's Rainbow Six Quarantine,First-person shooter,Ubisoft Montreal,Ubisoft,TBA,TBA,TBA,P
2525,Tom Clancy's Rainbow Six: Siege,First-person shooter,Ubisoft Montreal,Ubisoft,"Dec 10, 2015","Oct 13, 2015","Oct 13, 2015",P
2526,Tom Clancy's The Division,Action role-playing,Massive Entertainment,Ubisoft,"Mar 10, 2016","Mar 8, 2016","Mar 8, 2016",P
2527,Tom Clancy's The Division 2,Action role-playing,Massive Entertainment,Ubisoft,"Mar 15, 2019","Mar 15, 2019","Mar 15, 2019",P
2528,Tony Hawk's Pro Skater 1+2,Extreme sports,Vicarious Visions,Activision,"Sep 4, 2020","Sep 4, 2020","Sep 4, 2020",P
2529,Tony Hawk's Pro Skater 5,Extreme sports,Robomodo,Activision,Unreleased,"Oct 2, 2015","Sep 29, 2015",
2530,Tony Stewart's All-American Racing,Racing,Monster Games,Monster Games,Unreleased,"Sep 4, 2020","Sep 4, 2020",
2531,Tony Stewart's Sprint Car Racing,Racing,Monster Games,Monster Games,Unreleased,"Mar 6, 2020","Feb 14, 2020",
2532,Tools Up!,Action,Knights of Unity,All In! Games,"Mar 19, 2020","Dec 3, 2019","Dec 3, 2019",
2533,Tooth and Tail,Real-time strategy,Pocketwatch Games,Pocketwatch Games,Unreleased,"Sep 12, 2017","Sep 12, 2017",CP
2534,Torchlight II,"Action role-playing
hack and slash",Runic Games,Panic Button,Unreleased,"Sep 3, 2019","Sep 3, 2019",
2535,Torchlight III,"Action role-playing
hack and slash",Echtra Games,Perfect World Entertainment,Unreleased,"Oct 13, 2020","Oct 13, 2020",
2536,Toren,"Adventure
puzzle",Swordtales,Versus Evil,Unreleased,"May 14, 2015","May 12, 2015",
2537,Torment: Tides of Numenera,Role-playing,inXile Entertainment,Techland,"Feb 28, 2017","Feb 28, 2017","Feb 28, 2017",
2538,TorqueL,"Platform
puzzle",Full Power Side Attack,Playism,"Dec 24, 2014","Aug 11, 2015","Aug 11, 2015",
2539,Totally Reliable Delivery Service,Action,We're Five Games,tinyBuild,Unreleased,"Apr 1, 2020","Apr 1, 2020",
2540,Tottemo E Mahjong Plus,Board game,Arc System Works,Arc System Works,"Feb 22, 2014",Unreleased,Unreleased,
2541,Touhou Kobuto V: Burst Battle,Fighting,Cube Type,NIS America,"Nov 2, 2016","Oct 13, 2017","Oct 10, 2017",
2542,Touhou Labyrinth: Gensokyo to Tenkan no Taiju,Role-playing,"Cubetype
Nise-Eikoku Shinshidan",Phoenixx,"Jul 16, 2020",Unreleased,Unreleased,
2543,Touhou Sōjin Engi: The Genius of Sappheiros,Dōjin,Strawberry Bose,Mediascape,TBA,TBA,TBA,
2544,Touhou Sky Arena Matsuri,Dōjin,Area-Zero,Mediascape,"May 6, 2016","Aug 7, 2018","Jul 30, 2018",
2545,Toukiden 2,Action role-playing,Koei Tecmo,Koei Tecmo,"Jun 30, 2016","Apr 21, 2017","Mar 21, 2017",CP
2546,Toukiden: Kiwami,Action role-playing,Koei Tecmo,Koei Tecmo,"Aug 28, 2014","Mar 27, 2015","Mar 31, 2015",CP
2547,Tour de France 2014,Sports,Cyanide Studio,Focus Home Interactive,"Jun 22, 2014","Jun 22, 2014","Jun 22, 2014",
2548,Tour de France 2015,Sports,Cyanide Studio,Focus Home Interactive,"Jun 23, 2015","Jun 23, 2015","Jun 23, 2015",
2549,Tour de France 2016,Sports,Koch Media,Focus Home Interactive,"Jun 16, 2016","Jun 16, 2016","Jun 16, 2016",
2550,Tour de France 2017,Sports,Cyanide Studio,Focus Home Interactive,"Jun 28, 2017","Jun 28, 2017","Jun 28, 2017",
2551,Tour de France 2018,Sports,Cyanide Studio,Focus Home Interactive,"Jun 28, 2018","Jun 28, 2018","Jun 28, 2018",
2552,Tour de France 2019,Sports,Nacon,Bigben Interactive,"Jul 28, 2019","Jul 28, 2019","Jul 28, 2019",
2553,Tour de France 2020,Sports,Cyanide Studio,Nacon,"Jun 4, 2020","Jun 4, 2020","Jun 4, 2020",
2554,Touring Karts,"Racing
vehicular combat",Ivanovich Games,Ivanovich Games,Unreleased,"Dec 12, 2019","Dec 12, 2019",CP VR
2555,Tower 57,Shooter,Pixwerk,11 Bit Studios,TBA,TBA,TBA,
2556,TowerFall Ascension,"Arena combat, platform",Matt Thorson,Matt Makes Games,"Jul 16, 2014","Mar 19, 2014","Mar 11, 2014",
2557,Tower of Guns,First-person shooter,Terrible Posture Games,Terrible Posture Games,"May 7, 2015","Apr 8, 2015","Apr 8, 2015",
2558,Tower of Time,"Action
strategy",Event Horizon,Digerati,Unreleased,"Jun 24, 2020","Jun 23, 2020",
2559,The Town of Light,"Adventure, horror",LKA,Wired Productions,"Jun 6, 2017","Jun 6, 2017","Jun 6, 2017",
2560,Toy Soldiers 2: Finest Hour,"Action
strategy
tower defense",Signal Studios,Signal Studios,TBA,TBA,TBA,
2561,Toy Soldiers: Cold War HD,"Action
strategy
tower defense",Signal Studios,Signal Studios,TBA,TBA,TBA,
2562,Toy Soldiers HD,"Action
strategy
tower defense",Signal Studios,Accelerate Games,Unreleased,2021,2021,
2563,Toy Soldiers: War Chest,"Action
strategy
tower defense",Signal Studios,Ubisoft,"Aug 18, 2015","Aug 18, 2015","Aug 18, 2015",
2564,TrackMania Turbo,Racing,Nadeo,Ubisoft,"Mar 24, 2016","Mar 24, 2016","Mar 22, 2016",P VR
2565,Trailmakers,"Physics based
vehicular sandbox",Flashbulb Games,Flashbulb Games,Unreleased,"May 21, 2020","May 21, 2020",
2566,Train Sim World,Simulation,Dovetail Games,Dovetail Games,Unreleased,"Jul 24, 2018","Jul 24, 2018",
2567,Train Sim World 2,Simulation,Dovetail Games,Dovetail Games,Unreleased,"Aug 20, 2020","Aug 20, 2020",
2568,Train Sim World 2020,Simulation,Dovetail Games,Dovetail Games,Unreleased,"Aug 15, 2019","Aug 15, 2019",
2569,Train Sim World: Long Island Rail Road,Simulation,Dovetail Games,Dovetail Games,Unreleased,"Nov 27, 2018","Nov 27, 2018",
2570,Transcripted,Shooter,"Alkemi
Seaven Studio",Plug In Digital,"Feb 7, 2018","Sep 12, 2017","Sep 13, 2017",
2571,Transference,Adventure,"Ubisoft
SpectreVision",Ubisoft,"Sep 18, 2018","Sep 18, 2018","Sep 18, 2018",
2572,Transformers: Battlegrounds,Tactical role-playing,Coatsink,Outright Games,Unreleased,"Oct 23, 2020","Oct 23, 2020",
2573,Transformers: Devastation,Action,PlatinumGames,Activision,Unreleased,"Oct 9, 2015","Oct 6, 2015",
2574,Transformers: Fall of Cybertron,Third-person shooter,High Moon Studios,Activision,Unreleased,"Aug 9, 2016","Aug 9, 2016",
